7zip 26.02-1
xfce4-places-plugin 1.9.0-1
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screensaver 4.20.2-1
xfce4-screenshooter 1.11.3-3
xfce4-sensors-plugin 1.5.0-2
xfce4-smartbookmark-plugin 0.6.0-2
xfce4-systemload-plugin 1.4.0-1
xfce4-taskmanager 1.6.0-1
xfce4-time-out-plugin 1.2.0-1
xfce4-timer-plugin 1.8.0-1
xfce4-verve-plugin 2.1.0-1
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.1-2
xfce4-xkb-plugin 0.9.0-1
xfsprogs 7.1.1-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-3
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-2
xorg-iceauth 1.0.11-1
xorg-mkfontscale 1.2.4-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-server-devel 21.1.24-1
xorg-server-src 21.1.24-1
xorg-server-xephyr 21.1.24-1
xorg-server-xnest 21.1.24-1
xorg-server-xvfb 21.1.24-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.5-1
xorg-smproxy 1.0.8-1
xorg-twm 1.0.13.1-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.7-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.8-1
xorg-xkbutils 1.0.7-1
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.5-1
xorg-xlsclients 1.1.6-1
xorg-xmodmap 1.0.12-1
xorg-xpr 1.2.0-2
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.3-1
xorg-xrefresh 1.1.1-1
xorg-xset 1.2.6-1
xorg-xsetroot 1.1.4-1
xorg-xvinfo 1.1.6-1
xorg-xwayland 24.1.13-1
xorg-xwd 1.0.10-1
xorg-xwininfo 1.1.7-1
xorg-xwud 1.0.8-1
xsel 1.2.1-2
xterm 410-1
zip 3.0-13
zoxide 0.10.0-1
zsh-autocomplete 25.03.19-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-doc 5.9.2-1
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-2
zshdb 1.1.4-2
